value,full_text,display_text,selected
614_3,SEFAZ PI 25 C 03 AN DO TESOURO ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... C 03 AN DO TESOURO ESTADUAL ÁREA CONHEC GERAL,False
614_4,SEFAZ PI 25 D 04 AN DO TESOURO ESTADUAL ÁREA CONHEC TEC DA INFORM,SEFAZ PI 2... D 04 AN DO TESOURO ESTADUAL ÁREA CONHEC TEC DA INFORM,False
614_5,SEFAZ PI 25 E 05 AUD FISC DA FAZ ESTADUAL ÁREA CONHEC GERAL,SEFAZ PI 2... E 05 AUD FISC DA FAZ ESTADUAL ÁREA CONHEC GERAL,False
614_6,SEFAZ PI 25 F 06 AUD FISC DA FAZ ESTADUAL/ÁREA CONHEC TEC DA INFORM,SEFAZ PI 2... F 06 AUD FISC DA FAZ ESTADUAL/ÁREA CONHEC TEC DA INFORM,False
614_7,SEFAZ PI 25 G 07 AUD GOVERNAMENTAL ÁREA CONHEC GERAL,SEFAZ PI 2... G 07 AUD GOVERNAMENTAL ÁREA CONHEC GERAL,False
614_8,SEFAZ PI 25 H 08 AUD GOVERNAMENTAL ÁREA CONHEC TEC DA INFORMAÇÃO,SEFAZ PI 2... H 08 AUD GOVERNAMENTAL ÁREA CONHEC TEC DA INFORMAÇÃO,False
614_9,SEFAZ PI 25 I 09 AUD GOVERNAMENTAL ÁREA CONHEC ENGENHARIA,SEFAZ PI 2... I 09 AUD GOVERNAMENTAL ÁREA CONHEC ENGENHARIA,False
567_1,SEFAZ PR Auditor Fiscal,SEFAZ PR Auditor Fiscal,True
719_1,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ADMINISTRADOR,False
719_2,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: ANA FAZENDÁRIO,False
719_3,SEFAZ PR Agente Fazendario AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR,SEFAZ PR A... AGENTE FAZENDÁRIO ESTADUAL – FUNÇÃO: CONTADOR,False
