value,full_text,display_text,selected
98_1,SEFAZ AM 22 Ana da Fazenda Estadual,SEFAZ AM 2... Ana da Fazenda Estadual,false
99_1,SEFAZ AM 22 Assistente Administrativo da Fazenda Estadual,SEFAZ AM 2... Assistente Administrativo da Fazenda Estadual,false
97_1,SEFAZ AM 22 AUDITOR DE FINANÇAS E CONTROLE DO TESOURO ESTADUAL,SEFAZ AM 2... AUDITOR DE FINANÇAS E CONTROLE DO TESOURO ESTADUAL,false
97_5,SEFAZ AM 22 AUDITOR FISCAL DE TRIBUTOS ESTADUAIS,SEFAZ AM 2... AUDITOR FISCAL DE TRIBUTOS ESTADUAIS,false
98_2,SEFAZ AM 22 Controlador de Arrecadação da Receita Estadual,SEFAZ AM 2... Controlador de Arrecadação da Receita Estadual,false
97_2,SEFAZ AM 22 GESTOR DE TECNOLOGIA DA INFORMAÇÃO,SEFAZ AM 2... GESTOR DE TECNOLOGIA DA INFORMAÇÃO,false
97_3,SEFAZ AM 22 TEC ADMINISTRATIVO,SEFAZ AM 2... TEC ADMINISTRATIVO,false
114_1,SEFAZ AP Auditor da Receita Estadual,SEFAZ AP Auditor da Receita Estadual,false
114_2,SEFAZ AP Fiscal da Receita Estadual,SEFAZ AP Fiscal da Receita Estadual,false
25_3,SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO TRIBUTÁRIA,SEFAZ BA 1... AUDITOR FISCAL / ADMINISTRAÇÃO TRIBUTÁRIA,false
25_1,"SEFAZ BA 19 AUDITOR FISCAL / ADMINISTRAÇÃO, FINANÇAS E CONTROLE INTERNO","SEFAZ BA 1... AUDITOR FISCAL / ADMINISTRAÇÃO, FINANÇAS E CONTROLE INTERNO",false
25_2,SEFAZ BA 19 Auditor Fiscal Tecnologia da Informação,SEFAZ BA 1... Auditor Fiscal Tecnologia da Informação,false
95_1,SEFAZ BA 22 Agente de Tributos / Administração,SEFAZ BA 2... Agente de Tributos / Administração,false
95_3,SEFAZ BA 22 AGENTE DE TRIBUTOS / ADMINISTRAÇÃO TRIBUTÁRIA,SEFAZ BA 2... AGENTE DE TRIBUTOS / ADMINISTRAÇÃO TRIBUTÁRIA,false
95_2,SEFAZ BA 22 Agente de Tributos / Tecnologia da Informação,SEFAZ BA 2... Agente de Tributos / Tecnologia da Informação,false
2_2,SEFAZ CE Auditor Fiscal Contábil/Financeiro,SEFAZ CE Auditor Fiscal Contábil/Financeiro,false
2_1,SEFAZ CE Auditor Fiscal da Receita Estadual,SEFAZ CE Auditor Fiscal da Receita Estadual,false
2_4,SEFAZ CE Auditor Fiscal de Tecnologia da Informação,SEFAZ CE Auditor Fiscal de Tecnologia da Informação,false
2_3,SEFAZ CE Auditor Fiscal Jurídico,SEFAZ CE Auditor Fiscal Jurídico,false
7_1,SEFAZ DF Auditor Fiscal da Receita Estadual do DF,SEFAZ DF Auditor Fiscal da Receita Estadual do DF,false
4_1,SEFAZ ES Auditor Fiscal da Receita Estadual,SEFAZ ES Auditor Fiscal da Receita Estadual,false
86_2,SEFAZ ES Consultor Ciências da Computação,SEFAZ ES C... Ciências da Computação,false
86_1,SEFAZ ES Consultor CIÊNCIAS ECONÔMICAS,SEFAZ ES C... CIÊNCIAS ECONÔMICAS,false
9_1,SEFAZ GO Auditor Fiscal da Receita Estadual,SEFAZ GO Auditor Fiscal da Receita Estadual,false
10_1,SEFAZ MA Auditor Fiscal da Receita Estadual,SEFAZ MA Auditor Fiscal da Receita Estadual,false
10_2,SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito,SEFAZ MA Tec da Receita Estadual – Arrecadação e Fiscalização de Mercadorias em Trânsito,false
10_3,SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação,SEFAZ MA Tec da Receita Estadual – Tecnologia da Informação,false
108_1,SEFAZ MG Auditoria e Fiscalização,SEFAZ MG Auditoria e Fiscalização,false
108_3,SEFAZ MG Tecnologia da Informação,SEFAZ MG Tecnologia da Informação,false
108_2,SEFAZ MG Tributação,SEFAZ MG Tributação,false
